lon,lat,date,month,sst_c,presence
-12.949362132793496,3.293361433666284,2019-06-15,6.0,28.029602,0
-29.851828236560564,-29.084380287701496,2019-06-15,6.0,20.863983,0
-21.72769206792038,-15.379800195596102,2019-02-15,2.0,26.778473,0
-53.11167457343754,27.05021925946936,2019-12-15,12.0,24.818695,0
-37.8817553821916,3.142859396534341,2019-02-15,2.0,27.712708,0
-32.75613978285797,18.17949364531416,2019-03-15,3.0,23.131165,0
-42.23097072028716,26.000334645481615,2019-05-15,5.0,24.120667,0
-45.72856993245561,19.13194516356237,2019-03-15,3.0,24.577576,0
-27.2175184474022,0.08595074329827312,2019-07-15,7.0,26.086334,0
-31.81833007874169,-24.845625693174075,2019-08-15,8.0,21.940979,0
-36.34574269680938,-19.959119582619866,2019-08-15,8.0,24.916504,0
-19.389179261020615,12.827801465084917,2019-08-15,8.0,27.822205,0
-45.990818903322065,14.82094179134483,2019-12-15,12.0,26.445007,0
-54.167685702945576,14.237488946314855,2019-12-15,12.0,27.46283,0
-24.702509377617865,18.654941294875314,2019-05-15,5.0,22.985046,0
-16.132349107292463,-9.314605242316958,2019-11-15,11.0,25.032501,0
-30.482059899068577,22.956148786999073,2019-07-15,7.0,24.519043,0
-51.612134083065875,11.903811932026763,2019-05-15,5.0,26.841309,0
-53.44274013669772,10.972773586812124,2019-12-15,12.0,27.95929,0
-43.019505918049276,-26.613564342263548,2019-07-15,7.0,23.334412,0
-37.96342329560825,23.745328826754736,2019-01-15,1.0,23.458313,0
-32.93302092762964,23.94853221431076,2019-08-15,8.0,26.10852,0
-11.584018380275033,-10.974270198549224,2019-11-15,11.0,24.074219,0
-22.809941907342335,19.312703907708396,2019-06-15,6.0,22.959412,0
-10.420183471859524,-16.541359936708837,2019-11-15,11.0,22.539001,0
-42.516135079279294,28.479356643218395,2019-07-15,7.0,27.121796,0
-10.995589501610276,-19.59974215117969,2019-01-15,1.0,24.640228,0
-23.032764640597897,-29.465906986577167,2019-11-15,11.0,19.91504,0
-46.02735365444076,-26.915992357722015,2019-11-15,11.0,24.231354,0
-13.066076426439942,-4.0357118914792025,2019-12-15,12.0,27.28833,0
-33.42293532210553,19.727578365225078,2019-11-15,11.0,26.183807,0
-18.772953842374775,18.586982245628818,2019-11-15,11.0,24.550262,0
-37.05148542074322,-23.258810657867496,2019-02-15,2.0,28.572327,0
-36.849039034110234,1.5268187738190768,2019-12-15,12.0,28.196655,0
-48.64225722932319,29.59494312637122,2019-06-15,6.0,25.227661,0
-13.077308088280404,-13.944624325997342,2019-01-15,1.0,24.509644,0
-55.15666266395175,22.56648551971255,2019-02-15,2.0,24.94751,0
-20.844204816749404,-0.7076850694555716,2019-05-15,5.0,27.33725,0
-42.03451112020327,-1.8923676502711864,2019-02-15,2.0,28.545471,0
-54.11649848137262,7.185493692297527,2019-12-15,12.0,27.439789,0
-29.944089853689107,-2.443895718738638,2019-12-15,12.0,27.96643,0
-40.41641430298465,26.908164720037263,2019-10-15,10.0,26.229645,0
